Name,Canton,Population
Zurich,Zurich,434008
Geneva,Geneve,201818
Basel,Basel-Stadt,177595
Lausanne,Vaud,138905
Bern,Bern,133798
Winterthur,Zurich,109775
Lucerne,Luzern,81691
Sankt Gallen,Sankt Gallen,75833
Lugano,Ticino,63185
Biel/Bienne,Bern,54456
Thun,Bern,43743
Bellinzona,Ticino,43220
Koniz,Bern,41507
La Chaux-de-Fonds,Neuchatel,38965
Fribourg,Fribourg,38365
Schaffhausen,Schaffhausen,36587
Vernier,Geneve,35132
Chur,Graubunden,35038
Sion,Valais,34708
Uster,Zurich,34442
Neuchatel,Neuchatel,33475
Landecy,Geneve,31942
Zug,Zug,30542
Yverdon-les-Bains,Vaud,30157
Emmen,Luzern,29292
Dubendorf,Zurich,28002
Kriens,Luzern,26997
Rapperswil-Jona,Sankt Gallen,26989
Dietikon,Zurich,26936
Montreux,Vaud,25984
Wetzikon,Zurich,24452
Baar,Zug,24322
Meyrin,Geneve,24144
Wil,Sankt Gallen,23768
Bulle,Fribourg,22709
Horgen,Zurich,22662
Carouge,Geneve,22336
Frauenfeld,Thurgau,21979
Kreuzlingen,Thurgau,21801
Wadenswil,Zurich,21716
Riehen,Basel-Stadt,21448
Aarau,Aargau,21268
Allschwil,Basel-Landschaft,21150
Renens,Vaud,20927
Wettingen,Aargau,20721
Nyon,Vaud,20272
Bulach,Zurich,20046
Vevey,Vaud,19891
Opfikon,Zurich,19864
Kloten,Zurich,19362
Reinach,Basel-Landschaft,19144
Baden,Aargau,19122
Onex,Geneve,18977
Adliswil,Zurich,18731
Schlieren,Zurich,18666
Volketswil,Zurich,18615
Pully,Vaud,18313
Regensdorf,Zurich,18253
Gossau,Sankt Gallen,18171
Muttenz,Basel-Landschaft,17805
Thalwil,Zurich,17784
Monthey,Valais,17563
Ostermundigen,Bern,17546
Littau,Luzern,17224
Grenchen,Solothurn,17140
Olten,Solothurn,17133
Sierre,Valais,16860
Solothurn,Solothurn,16777
Pratteln,Basel-Landschaft,16621
Burgdorf,Bern,16280
Freienbach,Schwyz,16269
Wohlen,Aargau,16078
Locarno,Ticino,16012
Wallisellen,Zurich,15855
Morges,Vaud,15838
Steffisburg,Bern,15816
Herisau,Appenzell Ausserrhoden,15780
Langenthal,Bern,15639
Binningen,Basel-Landschaft,15580
Einsiedeln,Schwyz,15550
Lyss,Bern,15279
Mendrisio,Ticino,14942
Arbon,Thurgau,14537
Liestal,Basel-Landschaft,14390
Stafa,Zurich,14389
Kusnacht,Zurich,14250
Horw,Luzern,14243
Schwyz,Schwyz,14177
Thonex,Geneve,14122
Meilen,Zurich,13999
Oftringen,Aargau,13791
Amriswil,Thurgau,13534
Versoix,Geneve,13422
Richterswil,Zurich,13407
Rheinfelden,Aargau,13337
Brig-Glis,Valais,13109
Gland,Vaud,13106
Kussnacht,Schwyz,13084
Muri,Bern,13058
Zollikon,Zurich,13008
Ecublens,Vaud,12854
Spiez,Bern,12810
Delemont,Jura,12682
Buchs,Sankt Gallen,12612
Prilly,Vaud,12399
Chene-Bougeries,Geneve,12215
Le Grand-Saconnex,Geneve,12162
Ruti,Zurich,12098
Munchenstein,Basel-Landschaft,12096
Villars-sur-Glane,Fribourg,12092
Affoltern am Albis,Zurich,12080
Arth,Schwyz,11983
La Tour-de-Peilz,Vaud,11829
Pfaffikon,Zurich,11817
Spreitenbach,Aargau,11788
Altstatten,Sankt Gallen,11730
Zofingen,Aargau,11655
Veyrier,Geneve,11609
Bassersdorf,Zurich,11593
Weinfelden,Thurgau,11534
Belp,Bern,11439
Worb,Bern,11311
Hinwil,Zurich,11179
Romanshorn,Thurgau,11167
Oberwil,Basel-Landschaft,11136
Brugg,Aargau,11129
Mohlin,Aargau,11042
Mannedorf,Zurich,10957
Davos,Graubunden,10862
Plan-les-Ouates,Geneve,10656
Waltikon,Zurich,10600
Lenzburg,Aargau,10569
Flawil,Sankt Gallen,10520
Neuhausen am Rheinfall,Schaffhausen,10510
Le Locle,Neuchatel,10433
Suhr,Aargau,10424
Sarnen,Obwalden,10368
Aesch,Basel-Landschaft,10352
Birsfelden,Basel-Landschaft,10299
Lutry,Vaud,10289
Bernex,Geneve,10233
Maur,Zurich,10148
Aigle,Valais,10131
Naters,Valais,10073
Steinhaus,Luzern,10025
Therwil,Basel-Landschaft,9947
Payerne,Vaud,9943
Gossau,Zurich,9937
Sursee,Luzern,9900
Hochdorf,Luzern,9832
Urdorf,Zurich,9768
Wald,Zurich,9758
Estavayer-le-Lac,Fribourg,9712
Wittenbach,Sankt Gallen,9691
Widnau,Sankt Gallen,9616
Epalinges,Vaud,9611
Rorschach,Sankt Gallen,9439
Embrach,Zurich,9419
Altdorf,Uri,9401
Langnau,Bern,9366
Goldach,Sankt Gallen,9269
Schubelbach,Schwyz,9249
Arlesheim,Basel-Landschaft,9202
Niederhasli,Zurich,9188
Rothrist,Aargau,9121
Aadorf,Thurgau,9036
Ingenbohl,Schwyz,8912
Oberriet,Sankt Gallen,8878
Zuchwil,Solothurn,8875
Unterageri,Zug,8867
Landquart,Graubunden,8849
Neuenhof,Aargau,8824
Hunenberg,Zug,8807
Fully,Valais,8759
Lachen,Schwyz,8754
Wattwil,Sankt Gallen,8736
Bussy,Vaud,8736
Conthey,Valais,8691
Mels,Sankt Gallen,8620
Egg,Zurich,8596
Hombrechtikon,Zurich,8595
Fallanden,Zurich,8575
Biberist,Solothurn,8567
Obersiggenthal,Aargau,8565
Le Mont-sur-Lausanne,Vaud,8523
Reinach,Aargau,8498
Kilchberg,Zurich,8437
Stans,Nidwalden,8393
Oberentfelden,Aargau,8360
Murten,Fribourg,8222
Bagnes,Valais,8096
Aarburg,Aargau,8068
Domat/Ems,Graubunden,8037
Chiasso,Ticino,7975
Buchs,Aargau,7966
Dudingen,Fribourg,7961
Crissier,Vaud,7930
Rumlang,Zurich,7929
Visp,Valais,7891
Muri,Aargau,7810
Au,Sankt Gallen,7788
Willisau,Luzern,7780
Bex,Vaud,7771
Sirnach,Thurgau,7767
Bremgarten,Aargau,7765
Granichen,Aargau,7733
Chavannes-pres-Renens,Vaud,7724
Saviese,Valais,7712
Dietlikon,Zurich,7685
Windisch,Aargau,7654
Rothenburg,Luzern,7571
Durnten,Zurich,7518
Langnau am Albis,Zurich,7500
Ollon,Vaud,7497
Hirslen,Zurich,7465
Moutier,Bern,7378
Villmergen,Aargau,7324
Minusio,Ticino,7303
Seuzach,Zurich,7291
Rorschacherberg,Sankt Gallen,7285
Wollerau,Schwyz,7255
Untersiggenthal,Aargau,7240
Meggen,Luzern,7238
Herzogenbuchsee,Bern,7197
Bubikon,Zurich,7194
Reiden,Luzern,7131
Altendorf,Schwyz,7081
Grabs,Sankt Gallen,7068
Orbe,Vaud,6987
Chatel-Saint-Denis,Fribourg,6969
Oberglatt,Zurich,6964
Frutigen,Bern,6921
Ruswil,Luzern,6856
Schwarzenburg,Bern,6829
Heimberg,Bern,6827
Saanen,Bern,6817
Nidau,Bern,6815
Dornach,Solothurn,6778
Losone,Ticino,6701
Bottmingen,Basel-Landschaft,6691
Sissach,Basel-Landschaft,6681
Porrentruy,Jura,6675
Beromunster,Luzern,6580
Thal,Sankt Gallen,6570
Oberengstringen,Zurich,6569
Trimbach,Solothurn,6543
Wiesendangen,Zurich,6521
Derendingen,Solothurn,6483
Wurenlos,Aargau,6482
Diepoldsau,Sankt Gallen,6469
Frenkendorf,Basel-Landschaft,6435
Uznach,Sankt Gallen,6416
Oberuzwil,Sankt Gallen,6412
Birmensdorf,Zurich,6385
Fehraltorf,Zurich,6378
Vetroz,Valais,6372
Kerns,Obwalden,6337
Menziken,Aargau,6330
Buchs,Zurich,6303
Herrliberg,Zurich,6290
Oensingen,Solothurn,6284
Teufen,Appenzell Ausserrhoden,6265
Bolligen,Bern,6262
Rolle,Vaud,6259
Massagno,Ticino,6227
Gelterkinden,Basel-Landschaft,6200
Kuttigen,Aargau,6180
Blonay,Vaud,6173
Boudry,Neuchatel,6152
